('空调', '出风口', '1026364120', '3')
('收音机', '面板', '618393759', '2')
('后排', '空调', '-411346357', '3')
('空调', '异响', '-411346357', '3')
('空调', '故障', '-411346357', '2')
('音乐', '下', '-969030892', '4')
('下', '一曲', '-969030892', '4')
('一曲', '按键', '-969030892', '4')
('音乐', '零部件', '-969030892', '2')
('离合', '失效', '-1466550266', '2')
('离合器', '失灵', '-1466550266', '2')
('离合', '无法', '-1466550266', '3')
('无法', '使用', '-1466550266', '3')
('动力', '总成', '-1466550266', '3')
('总成', '故障', '-1466550266', '3')
('底盘', '异响', '643924649', '2')
('纵梁', '异响', '643924649', '2')
('底盘', '哒', '643924649', '6')
('哒', '哒', '643924649', '6')
('哒', '的', '643924649', '6')
('的', '响声', '643924649', '6')
('底盘', '动静', '643924649', '3')
('动静', '大', '643924649', '3')
('底盘', '怪声', '643924649', '2')
('底盘', '噪音', '643924649', '2')
('底盘', '咔', '643924649', '5')
('咔', '咔', '643924649', '5')
('咔', '的', '643924649', '5')
('的', '声音', '643924649', '5')
('底盘', '滴水', '643924649', '3')
('滴水', '声', '643924649', '3')
('防撞', '梁异响', '643924649', '2')
('防撞', '梁', '643924649', '5')
('梁', '哧哧', '643924649', '5')
('哧哧', '的', '643924649', '5')
('纵梁', '漏气', '643924649', '4')
('漏气', '的', '643924649', '4')
('的', '声音', '643924649', '4')
('底盘', '嗡嗡响', '643924649', '2')
('底盘', '咔', '643924649', '4')
('咔', '咔', '643924649', '4')
('咔', '声音', '643924649', '4')
('底板', '哐当', '643924649', '3')
('哐当', '声音', '643924649', '3')
('底盘', '有', '643924649', '3')
('有', '响声', '643924649', '3')
('底盘', '故障', '643924649', '2')
('倒车', '影像', '1039351386', '3')
('影像', '抖动', '1039351386', '3')
('影像', '模糊', '1039351386', '3')
('驾驶', '辅助', '1039351386', '3')
('辅助', '故障', '1039351386', '3')
('中', '控屏', '-1349384429', '2')
('中', '控大屏', '-1349384429', '2')
('中控', '显示屏', '-1349384429', '2')
('车', '机系统', '-1349384429', '2')
('中控台', '屏幕', '-1349384429', '2')
('多媒体', '显示屏', '-1349384429', '2')
('中控', '仪表', '-1349384429', '2')
('中央', '显示屏', '-1349384429', '2')
('中控', '屏幕', '-1349384429', '2')
('中控', '面板', '-1349384429', '2')
('中控', '液晶屏', '-1349384429', '2')
('胎压', '监测', '1713577728', '3')
('监测', '报警', '1713577728', '3')
('胎压', '报警', '1713577728', '2')
('轮胎', '报警', '1713577728', '2')
('轮胎', '胎压', '1713577728', '3')
('胎压', '报警', '1713577728', '3')
('轮胎', '故障', '1713577728', '2')
('主', '驾驶', '-651273991', '4')
('驾驶', '空调', '-651273991', '4')
('空调', '结冰', '-651273991', '4')
('空调', '故障', '-651273991', '2')
('语音', '控制', '-713616766', '3')
('控制', '车门', '-713616766', '3')
('语音', '控制系统', '-713616766', '2')
('右', '轮胎', '-2138912634', '3')
('轮胎', '异响', '-2138912634', '3')
('轮胎', '故障', '-2138912634', '2')
('后排', '空调', '-1366779438', '3')
('空调', '漏风', '-1366779438', '3')
('空调', '故障', '-1366779438', '2')
('轮胎气压', '异常', '-1656139868', '5')
('异常', '故障', '-1656139868', '5')
('故障', '报警', '-1656139868', '5')
('报警', '灯', '-1656139868', '5')
('胎压', '异常', '-1656139868', '4')
('异常', '报警', '-1656139868', '4')
('报警', '灯', '-1656139868', '4')
('轮胎气压', '异常', '-1656139868', '4')
('异常', '故障', '-1656139868', '4')
('故障', '灯', '-1656139868', '4')
('灯笼', '里', '-1656139868', '9')
('里', '有', '-1656139868', '9')
('有', '个', '-1656139868', '9')
('个', '叹', '-1656139868', '9')
('叹', '号', '-1656139868', '9')
('号', '图标', '-1656139868', '9')
('图标', '报警', '-1656139868', '9')
('报警', '灯', '-1656139868', '9')
('故障', '警示灯', '-1656139868', '4')
('胎压', '指示灯', '-1656139868', '2')
('轮胎', '压力', '-1656139868', '4')
('压力', '报警', '-1656139868', '4')
('胎压', '检测', '-1656139868', '3')
('检测', '灯', '-1656139868', '3')
('胎压', '灯', '-1656139868', '2')
('故障', '警告', '-1656139868', '5')
('警告', '灯', '-1656139868', '5')
('胎压', '报警', '-1656139868', '3')
('报警', '灯', '-1656139868', '3')
('胎压', '监测', '-1656139868', '4')
('监测', '报警', '-1656139868', '4')
('轮胎', '报警', '-1656139868', '3')
('轮胎', '故障', '-1656139868', '3')
('故障', '灯', '-1656139868', '3')
('故障', '灯', '-1656139868', '2')
('脚部', '空调', '1450960021', '5')
('空调', '制冷', '1450960021', '5')
('制冷', '效果', '1450960021', '5')
('效果', '差', '1450960021', '5')
('空调', '故障', '1450960021', '2')
('三元催化', '堵塞', '1829887920', '2')
('音乐', '声音', '-1908881992', '3')
('声音', '变小', '-1908881992', '3')
('音乐', '故障', '-1908881992', '2')
('主', '驾驶', '-506490165', '6')
('驾驶', '空调', '-506490165', '6')
('空调', '出风口', '-506490165', '6')
('出风口', '有', '-506490165', '6')
('有', '雾气', '-506490165', '6')
('主', '驾驶', '-506490165', '5')
('驾驶', '出风口', '-506490165', '5')
('出风口', '有', '-506490165', '5')
('有', '雾气', '-506490165', '5')
('空调', '故障', '-506490165', '2')
('座椅', '通风', '347859676', '3')
('通风', '失效', '347859676', '3')
('座椅', '故障', '347859676', '2')
('机械', '钥匙', '1689774996', '2')
('机械', '车', '1689774996', '3')
('车', '钥匙', '1689774996', '3')
('空调', '开关', '-979381013', '2')
('空调', '旋钮', '-529983604', '5')
('旋钮', '拧', '-529983604', '5')
('拧', '不到', '-529983604', '5')
('不到', '头', '-529983604', '5')
('空调', '旋钮', '-529983604', '6')
('旋钮', '拧', '-529983604', '6')
('拧', '不到', '-529983604', '6')
('不到', '左右', '-529983604', '6')
('左右', '两头', '-529983604', '6')
('空调', '故障', '-529983604', '2')
('定速巡航', '开启', '-971256442', '3')
('开启', '指示灯', '-971256442', '3')
('定速巡航', '灯', '-971256442', '2')
('定速巡航', '指示灯', '-971256442', '2')
('白色', '仪表盘', '-971256442', '7')
('仪表盘', '上', '-971256442', '7')
('上', '有', '-971256442', '7')
('有', '一个', '-971256442', '7')
('一个', '箭头', '-971256442', '7')
('箭头', '指示灯', '-971256442', '7')
('有', '一个', '-971256442', '6')
('一个', '箭头', '-971256442', '6')
('箭头', '的', '-971256442', '6')
('的', '白色', '-971256442', '6')
('白色', '指示灯', '-971256442', '6')
('前排', '空调', '-367609080', '3')
('空调', '开关', '-367609080', '3')
('四驱', '系统故障', '-1610554360', '4')
('系统故障', '报警', '-1610554360', '4')
('报警', '灯', '-1610554360', '4')
('四驱', '系统故障', '-1610554360', '3')
('系统故障', '警示灯', '-1610554360', '3')
('系统故障', '灯', '-1610554360', '3')
('车轴', '的', '-1610554360', '6')
('的', '黄色', '-1610554360', '6')
('黄色', '图标', '-1610554360', '6')
('图标', '报警', '-1610554360', '6')
('报警', '灯', '-1610554360', '6')
('系统故障', '警告', '-1610554360', '4')
('警告', '灯', '-1610554360', '4')
('故障', '灯', '-1610554360', '2')
('燃油', '系统', '-1651333168', '2')
('保养', '事项', '-1651333168', '2')
('主', '驾驶', '1216413482', '5')
('驾驶', '空调', '1216413482', '5')
('空调', '出风口', '1216413482', '5')
('出风口', '制热', '1216413482', '5')
('主', '驾驶', '1216413482', '4')
('驾驶', '出风口', '1216413482', '4')
('出风口', '制热', '1216413482', '4')
('空调', '功能', '1216413482', '2')
('车窗', '升降', '-783100008', '4')
('升降', '按钮', '-783100008', '4')
('按钮', '指示灯', '-783100008', '4')
('车窗', '按钮', '-783100008', '3')
('按钮', '指示灯', '-783100008', '3')
('升', '窗器', '-783100008', '4')
('窗器', '按钮', '-783100008', '4')
('按钮', '灯', '-783100008', '4')
('前排', '空调', '-478069910', '3')
('空调', '异响', '-478069910', '3')
('空调', '故障', '-478069910', '2')
('后排', '座椅', '-1537332728', '3')
('座椅', '松动', '-1537332728', '3')
('座椅', '故障', '-1537332728', '2')
('中控', '死机', '567432314', '2')
('中', '控屏', '567432314', '3')
('控屏', '故障', '567432314', '3')
('后视镜', '折叠', '-1002639030', '3')
('折叠', '失效', '-1002639030', '3')
('后视镜', '折叠', '-1002639030', '4')
('折叠', '用', '-1002639030', '4')
('用', '不了', '-1002639030', '4')
('后视镜', '无法', '-1002639030', '3')
('无法', '折叠', '-1002639030', '3')
('后视镜', '折叠', '-1002639030', '5')
('折叠', '功能', '-1002639030', '5')
('功能', '不好', '-1002639030', '5')
('不好', '使', '-1002639030', '5')
('后视镜', '不能', '-1002639030', '3')
('不能', '折叠', '-1002639030', '3')
('折叠', '没', '-1002639030', '4')
('没', '反应', '-1002639030', '4')
('后视镜', '故障', '-1002639030', '2')
('水箱', '磨损', '1229695412', '2')
('雨', '刮', '1229695412', '4')
('刮', '水壶', '1229695412', '4')
('水壶', '破裂', '1229695412', '4')
('风窗', '洗涤液', '1229695412', '4')
('洗涤液', '罐', '1229695412', '4')
('罐', '损坏', '1229695412', '4')
('雨刮器', '故障', '1229695412', '2')
('汽车', '散热器', '1219183411', '2')
('散热', '设备', '1219183411', '2')
('风冷', '散热器', '1219183411', '2')
('保养', '事项', '1219183411', '2')
('空调', '制冷', '1890921481', '2')
('空调', '凉风', '1890921481', '2')
('空调', '冷风', '1890921481', '2')
('冷', '空调', '1890921481', '2')
('空调', '功能', '1890921481', '2')
('第二排', '空调', '1203256223', '5')
('空调', '出风口', '1203256223', '5')
('出风口', '有', '1203256223', '5')
('有', '热气', '1203256223', '5')
('第二排', '出风口', '1203256223', '4')
('出风口', '有', '1203256223', '4')
('有', '热气', '1203256223', '4')
('空调', '故障', '1203256223', '2')
('手机', 'APP', '-531389149', '2')
('车用', 'APP', '-531389149', '2')
('手机', '应用', '-531389149', '2')
('手机', '应用程序', '-531389149', '2')
('手机', 'app', '-531389149', '3')
('app', '功能', '-531389149', '3')
('远程', '控制', '-531389149', '2')
('远程', '控制', '-531389149', '3')
('控制', '功能', '-531389149', '3')
('音乐', '噪音', '-74307710', '3')
('噪音', '大', '-74307710', '3')
('放', '音乐', '-74307710', '4')
('音乐', '有', '-74307710', '4')
('有', '噪音', '-74307710', '4')
('音乐', '故障', '-74307710', '2')
('轮胎', '防滑链', '833424221', '2')
('主', '驾驶', '-150661654', '4')
('驾驶', '座椅', '-150661654', '4')
('座椅', '变形', '-150661654', '4')
('座椅', '故障', '-150661654', '2')
('倒车', '影像', '-482097264', '3')
('影像', '按键', '-482097264', '3')
('影像', '按钮', '-482097264', '3')
('影像', '键', '-482097264', '3')
('驾驶', '辅助', '-482097264', '2')
('经济', '模式', '-482349880', '3')
('模式', '指示灯', '-482349880', '3')
('经济', '两个', '-482349880', '8')
('两个', '字', '-482349880', '8')
('字', '下面', '-482349880', '8')
('下面', '有', '-482349880', '8')
('有', 'MODE', '-482349880', '8')
('MODE', '字母', '-482349880', '8')
('字母', '指示灯', '-482349880', '8')
('模式', '灯', '-482349880', '3')
('前示', '廓灯', '1667783108', '2')
('张紧', '轮', '1619871949', '3')
('轮', '异响', '1619871949', '3')
('张紧', '轮', '1619871949', '5')
('轮', '咔', '1619871949', '5')
('咔', '咔', '1619871949', '5')
('咔', '声音', '1619871949', '5')
('后排', '空调', '1178252193', '5')
('空调', '吹风', '1178252193', '5')
('吹风', '不', '1178252193', '5')
('不', '稳定', '1178252193', '5')
('空调', '故障', '1178252193', '2')
('右', '后', '471313870', '3')
('后', '雾灯', '471313870', '3')
('中控', '电量', '-97922805', '3')
('电量', '不足', '-97922805', '3')
('中控', '电源', '-97922805', '5')
('电源', '突然', '-97922805', '5')
('突然', '没', '-97922805', '5')
('没', '电', '-97922805', '5')
('中控', '电源', '-97922805', '4')
('电源', '电量', '-97922805', '4')
('电量', '不足', '-97922805', '4')
('中', '控屏', '-97922805', '3')
('控屏', '故障', '-97922805', '3')
('副驾驶', '空调', '-2147194601', '7')
('空调', '出风口', '-2147194601', '7')
('出风口', '吹', '-2147194601', '7')
('吹', '出', '-2147194601', '7')
('出', '白色', '-2147194601', '7')
('白色', '粉末', '-2147194601', '7')
('空调', '故障', '-2147194601', '2')
('后排', '空调', '673500462', '2')
('后排', '自动', '673500462', '3')
('自动', '空调', '673500462', '3')
('后方', '空调', '673500462', '2')
('机油', '增多', '-768279325', '2')
('机油', '过多', '-768279325', '2')
('保养', '物料', '-768279325', '3')
('物料', '故障', '-768279325', '3')
('后', '排空', '-2127349737', '4')
('排空', '调制', '-2127349737', '4')
('调制', '热', '-2127349737', '4')
('空调', '功能', '-2127349737', '2')
('方向盘', '按键', '1619015399', '4')
('按键', '温度', '1619015399', '4')
('温度', '过高', '1619015399', '4')
('方向盘', '按钮', '1619015399', '4')
('按钮', '温度', '1619015399', '4')
('方向盘', '故障', '1619015399', '2')
('副驾驶', '空调', '-192692952', '4')
('空调', '无法', '-192692952', '4')
('无法', '关闭', '-192692952', '4')
('空调', '故障', '-192692952', '2')
('第二排', '空调', '1040487745', '3')
('空调', '漏风', '1040487745', '3')
('空调', '故障', '1040487745', '2')
('后排', '空调', '-1929450295', '5')
('空调', '出风口', '-1929450295', '5')
('出风口', '温度', '-1929450295', '5')
('温度', '过高', '-1929450295', '5')
('后排', '出风口', '-1929450295', '4')
('出风口', '温度', '-1929450295', '4')
('温度', '过高', '-1929450295', '4')
('空调', '故障', '-1929450295', '2')
('语音', '控制', '-1782202442', '4')
('控制', '天窗', '-1782202442', '4')
('天窗', '防夹', '-1782202442', '4')
('语音', '控制系统', '-1782202442', '2')
('后排', '空调', '661158211', '4')
('空调', '出风口', '661158211', '4')
('出风口', '异味', '661158211', '4')
('后排', '出风口', '661158211', '3')
('出风口', '异味', '661158211', '3')
('空调', '故障', '661158211', '2')
('方向盘', '音乐', '-800212278', '5')
('音乐', '下', '-800212278', '5')
('下', '一曲', '-800212278', '5')
('一曲', '按键', '-800212278', '5')
('方向盘', '下', '-800212278', '4')
('下', '一曲', '-800212278', '4')
('一曲', '按键', '-800212278', '4')
('蒸发', '箱', '-2035162282', '2')
('空调', '蒸发', '-2035162282', '3')
('蒸发', '箱', '-2035162282', '3')
('保养', '事项', '-2035162282', '2')
('前排', '空调', '652886584', '4')
('空调', '出风口', '652886584', '4')
('出风口', '失效', '652886584', '4')
('前排', '出风口', '652886584', '3')
('出风口', '失效', '652886584', '3')
('空调', '故障', '652886584', '2')
('方向', '操作', '-1269792523', '3')
('操作', '盘', '-1269792523', '3')
('转向', '盘', '-1269792523', '2')
('多功能', '方向盘', '-1269792523', '2')
('中国', '一汽', '1797866757', '2')
('中国', '第一', '1797866757', '3')
('第一', '汽车集团', '1797866757', '3')
('自动', '驻车', '-326402100', '4')
('驻车', '自动', '-326402100', '4')
('自动', '关闭', '-326402100', '4')
('驾驶', '辅助', '-326402100', '3')
('辅助', '故障', '-326402100', '3')
('倒车', '灯不亮', '-1004769837', '2')
('转', '车灯', '-1004769837', '3')
('车灯', '损坏', '-1004769837', '3')
('车灯', '故障', '-1004769837', '2')
('第三排', '空调', '-1116033254', '3')
('空调', '漏水', '-1116033254', '3')
('空调', '故障', '-1116033254', '2')
('左', '前大灯', '-938909697', '4')
('前大灯', '有', '-938909697', '4')
('有', '雾气', '-938909697', '4')
('车灯', '故障', '-938909697', '2')
('方向盘', '噪音', '713658322', '3')
('噪音', '大', '713658322', '3')
('方向盘', '故障', '713658322', '2')
('音乐', '音量', '135987008', '4')
('音量', '调节', '135987008', '4')
('调节', '按键', '135987008', '4')
('音乐', '零部件', '135987008', '2')
('第二排', '空调', '-1476386493', '5')
('空调', '出风口', '-1476386493', '5')
('出风口', '有', '-1476386493', '5')
('有', '雾气', '-1476386493', '5')
('第二排', '出风口', '-1476386493', '4')
('出风口', '有', '-1476386493', '4')
('有', '雾气', '-1476386493', '4')
('空调', '故障', '-1476386493', '2')
('左', '转向灯', '-1653002323', '3')
('转向灯', '闪烁', '-1653002323', '3')
('车灯', '故障', '-1653002323', '2')
('大灯', '高度', '-1122575521', '4')
('高度', '调节', '-1122575521', '4')
('调节', '失效', '-1122575521', '4')
('车灯', '故障', '-1122575521', '2')
('三元催化', '保养', '-55751597', '3')
('保养', '剂', '-55751597', '3')
('三元催化', '清洗剂', '-55751597', '2')
('保养', '物料', '-55751597', '2')
('空调', '面板', '-1318108165', '5')
('面板', '不', '-1318108165', '5')
('不', '显示', '-1318108165', '5')
('显示', '温度', '-1318108165', '5')
('空调', '故障', '-1318108165', '2')
('倒车', '雷达', '1812942859', '3')
('雷达', '失效', '1812942859', '3')
('雷达', '失灵', '1812942859', '3')
('倒车', '雷达', '1812942859', '4')
('雷达', '无法', '1812942859', '4')
('无法', '使用', '1812942859', '4')
('驾驶', '辅助', '1812942859', '3')
('辅助', '故障', '1812942859', '3')
('导航', '按钮', '-1988455281', '3')
('按钮', '松动', '-1988455281', '3')
('导航', '故障', '-1988455281', '2')
('副驾驶', '座椅', '320019965', '4')
('座椅', '头枕', '320019965', '4')
('头枕', '异响', '320019965', '4')
('副驾驶', '头枕', '320019965', '3')
('头枕', '异响', '320019965', '3')
('座椅', '故障', '320019965', '2')
('车机', '互联', '-520121525', '2')
('手机', '连接', '-520121525', '3')
('连接', '导航', '-520121525', '3')
('车机', '上网', '-520121525', '2')
('手机', '连接', '-520121525', '2')
('车载', '互联', '-520121525', '2')
('车载', '映射', '-520121525', '3')
('映射', '系统', '-520121525', '3')
('手机', '互联', '-520121525', '2')
('手机', '互联', '-520121525', '3')
('互联', '设备', '-520121525', '3')
('互联', '映射', '-520121525', '3')
('脚部', '空调', '1904169854', '2')
('前排', '空调', '-603172082', '3')
('空调', '漏风', '-603172082', '3')
('空调', '故障', '-603172082', '2')
('空调', '滤芯', '-821624913', '3')
('滤芯', '变形', '-821624913', '3')
('空调', '故障', '-821624913', '2')
('水箱', '保护剂', '-1702899450', '2')
('水箱', '防锈', '-1702899450', '3')
('防锈', '保护', '-1702899450', '3')
('保养', '物料', '-1702899450', '2')
('TSR', '系统故障', '-1392779109', '4')
('系统故障', '报警', '-1392779109', '4')
('报警', '灯', '-1392779109', '4')
('tsr', '系统故障', '-1392779109', '3')
('系统故障', '警示灯', '-1392779109', '3')
('TSR', '系统', '-1392779109', '4')
('系统', '报警', '-1392779109', '4')
('系统故障', '灯', '-1392779109', '3')
('tsr', '系统故障', '-1392779109', '4')
('系统故障', '警告', '-1392779109', '4')
('警告', '灯', '-1392779109', '4')
('红色', '圆内', '-1392779109', '11')
('圆内', '的', '-1392779109', '11')
('的', 'N', '-1392779109', '11')
('N', 'A', '-1392779109', '11')
('A', '被', '-1392779109', '11')
('被', '红线', '-1392779109', '11')
('红线', '叉', '-1392779109', '11')
('叉', '过', '-1392779109', '11')
('过', '报警', '-1392779109', '11')
('报警', '灯', '-1392779109', '11')
('A', '在', '-1392779109', '11')
('在', '红色', '-1392779109', '11')
('圆内', '被', '-1392779109', '11')
('故障', '灯', '-1392779109', '2')
('节流阀', '体', '64003832', '2')
('节', '气孔', '64003832', '2')
('节', '气阀', '64003832', '2')
('陡坡', '缓降', '238809431', '2')
('陡坡', '缓降', '238809431', '3')
('缓降', '功能', '238809431', '3')
('陡坡', '辅助', '238809431', '2')
('陡坡', '辅助', '238809431', '3')
('辅助', '系统', '238809431', '3')
('陡路', '辅助', '238809431', '2')
('陡坡', '缓降', '238809431', '4')
('缓降', 'HDC', '238809431', '4')
('HDC', '功能', '238809431', '4')
('陡坡', '降速', '238809431', '2')
('斜坡', '控制系统', '238809431', '2')
('缓降', '系统', '238809431', '3')
('主', '驾驶', '-1030967135', '6')
('驾驶', '空调', '-1030967135', '6')
('空调', '吹风', '-1030967135', '6')
('吹风', '不', '-1030967135', '6')
('不', '稳定', '-1030967135', '6')
('空调', '故障', '-1030967135', '2')
('座椅', '螺丝', '-816633978', '3')
('螺丝', '松动', '-816633978', '3')
('座椅', '故障', '-816633978', '2')
('usb', '音乐', '-568408464', '3')
('音乐', '死机', '-568408464', '3')
('音乐', '故障', '-568408464', '2')
('副驾驶', '储物袋', '-360540730', '2')
('副驾驶', '储物盒', '-360540730', '2')
('储物', '装置', '-360540730', '2')
('前排', '智能', '-1680166586', '3')
('智能', '升窗', '-1680166586', '3')
('车窗', '天窗', '-1680166586', '3')
('天窗', '功能', '-1680166586', '3')
('减震器', '异响', '-491833288', '2')
('减震器', '恍啷', '-491833288', '4')
('恍啷', '的', '-491833288', '4')
('的', '异响', '-491833288', '4')
('减震', '设备', '-491833288', '3')
('设备', '异响', '-491833288', '3')
('减震器', '咚咚', '-491833288', '3')
('咚咚', '咚响', '-491833288', '3')
('底盘', '故障', '-491833288', '2')
('主', '驾驶', '-1200982849', '4')
('驾驶', '座椅', '-1200982849', '4')
('座椅', '生锈', '-1200982849', '4')
('座椅', '故障', '-1200982849', '2')
('标准', '驾驶', '-150818445', '5')
('驾驶', '模式', '-150818445', '5')
('模式', '状态', '-150818445', '5')
('状态', '指示灯', '-150818445', '5')
('标准', '两个', '-150818445', '8')
('两个', '字', '-150818445', '8')
('字', '下面', '-150818445', '8')
('下面', '有', '-150818445', '8')
('有', 'MODE', '-150818445', '8')
('MODE', '字母', '-150818445', '8')
('字母', '指示灯', '-150818445', '8')
('状态', '灯', '-150818445', '5')
('转向', '失效', '1008870192', '2')
('转向', '异常', '1008870192', '2')
('转向', '损坏', '1008870192', '2')
('转向', '失灵', '1008870192', '2')
('右', '后', '1918371151', '4')
('后', '尾灯', '1918371151', '4')
('尾灯', '灯罩', '1918371151', '4')
('右', '后', '1918371151', '3')
('后', '灯罩', '1918371151', '3')
('冷却液', '高温', '978388027', '4')
('高温', '报警', '978388027', '4')
('报警', '灯', '978388027', '4')
('红色', '温度计', '978388027', '5')
('温度计', '图标', '978388027', '5')
('图标', '报警', '978388027', '5')
('报警', '灯', '978388027', '5')
('冷却', '高温', '978388027', '3')
('高温', '警示灯', '978388027', '3')
('红色', '水上', '978388027', '7')
('水上', '有个', '978388027', '7')
('有个', '温度计', '978388027', '7')
('温度计', '图标', '978388027', '7')
('图标', '报警', '978388027', '7')
('报警', '灯', '978388027', '7')
('高温', '灯', '978388027', '3')
('冷却', '高温', '978388027', '4')
('高温', '警告', '978388027', '4')
('警告', '灯', '978388027', '4')
('故障', '灯', '978388027', '2')
('空调', '压缩机', '1536781910', '4')
('压缩机', '电量', '1536781910', '4')
('电量', '不足', '1536781910', '4')
('压缩机', '没', '1536781910', '4')
('没', '电', '1536781910', '4')
('空调', '故障', '1536781910', '2')
('方向盘', '不正', '1807220862', '2')
('方向盘', '歪', '1807220862', '3')
('歪', '的', '1807220862', '3')
('方向盘', '跑', '1807220862', '3')
('跑', '偏', '1807220862', '3')
('方向盘', '倾斜', '1807220862', '2')
('方向盘', '偏', '1807220862', '2')
('方向盘', '故障', '1807220862', '2')
('空调', '电阻', '385349618', '2')
('后排', '空调', '450733426', '5')
('空调', '出风口', '450733426', '5')
('出风口', '噪音', '450733426', '5')
('噪音', '大', '450733426', '5')
('空调', '故障', '450733426', '2')
('右示', '廓灯', '-671574145', '2')
('副驾驶', '空调', '-2094114097', '5')
('空调', '出风口', '-2094114097', '5')
('出风口', '有', '-2094114097', '5')
('有', '热气', '-2094114097', '5')
('副驾驶', '出风口', '-2094114097', '4')
('出风口', '有', '-2094114097', '4')
('有', '热气', '-2094114097', '4')
('空调', '故障', '-2094114097', '2')
('后', '减震器', '1426950626', '2')
('后', '减震', '1426950626', '2')
('后', '避震器', '1426950626', '2')
('AEB', '系统', '-2134608389', '4')
('系统', '工作', '-2134608389', '4')
('工作', '指示灯', '-2134608389', '4')
('圈内', '有', '-2134608389', '10')
('有', '感叹号', '-2134608389', '10')
('感叹号', '圈上', '-2134608389', '10')
('圈上', '有', '-2134608389', '10')
('有', '字母', '-2134608389', '10')
('字母', 'A', '-2134608389', '10')
('A', '的', '-2134608389', '10')
('的', '图标', '-2134608389', '10')
('图标', '指示灯', '-2134608389', '10')
('两个', '圈里', '-2134608389', '9')
('圈里', '有', '-2134608389', '9')
('有', '感叹号', '-2134608389', '9')
('感叹号', '上面', '-2134608389', '9')
('上面', '有', '-2134608389', '9')
('有', '字母', '-2134608389', '9')
('字母', 'A', '-2134608389', '9')
('A', '指示灯', '-2134608389', '9')
('离合器', '异响', '-926202815', '2')
('离合器', '踏板', '-926202815', '3')
('踏板', '异响', '-926202815', '3')
('离合', '踏板', '-926202815', '3')
('踏板', '故障', '-926202815', '3')
('离合', '异响', '-926202815', '2')
('离合', '踏板', '-926202815', '4')
('踏板', '声音', '-926202815', '4')
('声音', '大', '-926202815', '4')
('踏板', '有', '-926202815', '4')
('有', '怪声', '-926202815', '4')
('声音', '异常', '-926202815', '4')
('有', '问题', '-926202815', '4')
('动力', '总成', '-926202815', '3')
('总成', '故障', '-926202815', '3')
('第二排', '空调', '757601248', '5')
('空调', '不', '757601248', '5')
('不', '显示', '757601248', '5')
('显示', '温度', '757601248', '5')
('空调', '故障', '757601248', '2')
('前', '转向灯', '290990288', '2')
('外', '后视镜', '-1540427973', '6')
('后视镜', '电动', '-1540427973', '6')
('电动', '折叠', '-1540427973', '6')
